clay,phlegm,sulfur,mercury,aqua,utility,edibility,danger,wearability,blockiness,hate,lust,faith,energy,fuseable,rank,bias,stack_size,color_r,color_g,color_b,ball,digital,gem,glass,gold,magic,meat,metal,plant,plastic,stick,stone,string,wood,shoe,earth,fluff,foliage,leaf,cold,bright,letter,magnetite,ring,sky,capsule,water,fire,ball,digital,gem,glass,gold,magic,meat,metal,plant,plastic,stick,stone,string,wood,shoe,earth,fluff,foliage,leaf,cold,bright,letter,magnetite,ring,sky,capsule,water,fire
0.06,0.66,0.0,0.05,0.12,0.5,0.0,0.125,0.5,0.0,0.0,0.0,0.4,0.5,1.0,0.1,0.09999999999999964,1,0.8378292731233907,0.5521489403842345,0.46852842146959794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.7,0.1,0.0,0.1,0.07,0.005,0.0,0.0,0.5,0.0,0.0,0.0,0.1,1.0,0.0,-0.1,30,0.4577429193899782,0.26452287581699346,0.37418736383442264,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.91,0.1,0.0,0.1,0.07,0.335,0.0,0.0,0.5,0.0,0.0,0.0,0.1,1.0,0.0,-0.1,30,0.3139869281045752,0.189281045751634,0.25986928104575163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.16,0.3,0.67,0.0,0.335,0.0,0.0,0.06,0.0,0.44999999999999996,0.0,0.01,1.0,0.0,0.0,30,0.5274109643857543,0.29571828731492594,0.43145258103241296,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.16,0.3,0.25,0.0,0.12,0.0,0.0,0.06,0.0,0.44999999999999996,0.0,0.01,1.0,0.0,-0.1999999999999993,30,0.5329507412721186,0.3032520325203252,0.441272118603539,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.12,0.21,1.0,0.06,0.465,0.0,0.5,0.045,0.0,1.25,1.25,0.5125,0.2,1.0,0.0,-0.1999999999999993,30,0.7525892408245349,0.7733031674208145,0.8286324786324787,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.28750000000000003,0.5,1.0,0.0,-0.10999999999999945,30,0.8879477124183006,0.602161220043573,0.4063616557734205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,1.0,0.5,-0.5,30,0.8545010893246188,0.7380043572984749,0.599128540305011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.375,1.0,1.0,0.0,0.0,30,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,0.0,0.12,0.86,0.0,0.08,0.0,0.0,0.0,0.5,0.1375,0.15,0.11249999999999999,0.025,1.0,0.1,0.0,30,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.025,0.025,0.5,0.0,0.0,0.625,0.025,1.0,0.0,0.0,30,0.8990501089324618,0.5016993464052287,0.8216470588235294,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.025,0.025,0.5,0.3125,0.3125,0.3125,0.025,1.0,0.0,0.0,30,0.7131328976034859,0.5621612200435729,0.6922004357298475,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.025,0.025,0.5,0.0,0.0,0.625,0.025,1.0,0.0,0.0,30,0.5641132897603486,0.6436427015250544,0.6903006535947712,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.025,0.025,0.5,0.4375,0.1875,0.1875,0.025,1.0,0.0,0.0,30,0.6989455337690632,0.7240610021786492,0.39799564270152504,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.025,0.025,0.5,0.8375,0.28750000000000003,0.0,0.025,1.0,0.0,0.0,30,0.9902745098039216,0.8529324618736384,0.36521132897603487,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.025,0.025,0.5,1.25,0.42500000000000004,0.0,0.025,1.0,0.0,0.0,30,0.9732461873638344,0.780566448801743,0.7692897603485839,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.19,0.6,0.44,0.0,0.0,0.0,0.055,0.0,0.5,1.25,0.0,0.0,0.1,1.0,0.0,0.0,30,0.5019607843137255,0.050980392156862744,0.07450980392156863,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.38,0.13,0.07,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,1.0,0.0,0.0,30,0.21129411764705883,0.20592592592592593,0.197838779956427,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.25,0.0,0.12,0.0,0.0,0.06,0.0,0.0,0.0,0.01,1.0,0.0,0.0,30,0.5098951208390333,0.5264021887824898,0.5468308253533972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
